Date,ME,RA,EA,NE,OC,NC,BC,CM
11/15/2019,5,5,5,5,5,5,5,5
11/16/2019,5,5,5,5,5,5,5,5
11/17/2019,5,5,5,5,5,5,5,5
11/18/2019,5,5,5,5,5,5,5,5
11/19/2019,5,5,5,5,5,5,5,5
11/20/2019,5,5,5,5,5,5,5,5
11/21/2019,5,5,5,5,5,5,5,5
11/22/2019,5,5,5,5,5,5,5,5
11/23/2019,5,5,5,5,5,5,5,5
11/24/2019,5,5,5,5,5,5,5,5
11/25/2019,5,5,5,5,5,5,5,5
11/26/2019,5,5,5,5,5,5,5,5
11/27/2019,5,5,5,5,5,5,5,5
11/28/2019,5,5,5,5,5,5,5,5
11/29/2019,5,5,5,5,5,5,5,5
11/30/2019,5,5,5,5,5,5,5,5
12/1/2019,5,5,5,5,5,5,5,5
12/2/2019,5,5,5,5,5,5,5,5
12/3/2019,5,5,5,5,5,5,5,5
12/4/2019,5,5,5,5,5,5,5,5
12/5/2019,5,5,5,5,5,5,5,5
12/6/2019,4,4,4,4,4,4,4,4
12/7/2019,4,4,4,4,4,4,4,4
12/8/2019,4,4,4,4,4,4,4,4
12/9/2019,4,4,4,4,4,4,4,4
12/10/2019,4,4,4,4,4,4,4,4
12/11/2019,4,4,4,4,4,4,4,4
12/12/2019,4,4,4,4,4,4,4,4
12/13/2019,4,4,4,4,4,4,4,4
12/14/2019,4,4,4,4,4,4,4,4
12/15/2019,4,4,4,4,4,4,4,4
12/16/2019,4,4,4,4,4,4,4,4
12/17/2019,4,4,4,4,4,4,4,4
12/18/2019,4,4,4,4,4,4,4,4
12/19/2019,4,4,4,4,4,4,4,4
12/20/2019,4,4,4,4,4,4,4,4
12/21/2019,4,4,4,4,4,4,4,4
12/22/2019,4,4,4,4,4,4,4,4
12/23/2019,4,4,4,4,4,4,4,4
12/24/2019,4,4,4,4,4,4,4,4
12/25/2019,4,4,4,4,4,4,4,4
12/26/2019,4,4,4,4,4,4,4,4
12/27/2019,4,4,4,4,4,4,4,4
12/28/2019,4,4,4,4,4,4,4,4
12/29/2019,4,4,4,4,4,4,4,4
12/30/2019,4,4,4,4,4,4,4,4
12/31/2019,4,4,4,4,4,4,4,4
1/1/2020,4,4,4,4,4,4,4,4
1/2/2020,4,4,4,4,4,4,4,4
1/3/2020,3,3,3,3,3,3,3,3
1/4/2020,3,3,3,3,3,3,3,3
1/5/2020,3,3,3,3,3,3,3,3
1/6/2020,3,3,3,3,3,3,3,3
1/7/2020,3,3,3,3,3,3,3,3
1/8/2020,3,3,3,3,3,3,3,3
1/9/2020,3,3,3,3,3,3,3,3
1/10/2020,3,3,3,3,3,3,3,3
1/11/2020,3,3,3,3,3,3,3,3
1/12/2020,3,3,3,3,3,3,3,3
1/13/2020,3,3,3,3,3,3,3,3
1/14/2020,3,3,3,3,3,3,3,3
1/15/2020,3,3,2,2,1,1,1,1
1/16/2020,3,3,2,2,1,1,1,1
1/17/2020,3,3,2,2,1,1,1,1
1/18/2020,3,3,2,2,1,1,1,1
1/19/2020,3,3,2,2,1,1,1,1
1/20/2020,3,3,2,2,1,1,1,1
1/21/2020,3,3,2,2,1,1,1,1
1/22/2020,3,3,2,2,1,1,1,1
1/23/2020,3,3,2,2,1,1,1,1
1/24/2020,3,3,2,2,1,1,1,1
1/25/2020,3,3,2,2,1,1,1,1
1/26/2020,3,3,2,2,1,1,1,1
1/27/2020,3,3,2,2,1,1,1,1
1/28/2020,3,3,2,2,1,1,1,1
1/29/2020,3,3,2,2,1,1,1,1
1/30/2020,3,3,2,2,1,1,1,1
1/31/2020,3,3,2,2,1,1,1,1
2/1/2020,2,2,1,1,1,1,1,1
2/2/2020,2,2,1,1,1,1,1,1
2/3/2020,2,2,1,1,1,1,1,1
2/4/2020,2,2,1,1,1,1,1,1
2/5/2020,2,2,1,1,1,1,1,1
2/6/2020,2,2,1,1,1,1,1,1
2/7/2020,2,2,1,1,1,1,1,1
2/8/2020,2,2,1,1,1,1,1,1
2/9/2020,2,2,1,1,1,1,1,1
2/10/2020,2,2,1,1,1,1,1,1
2/11/2020,2,2,1,1,1,1,1,1
2/12/2020,2,2,1,1,1,1,1,1
2/13/2020,2,2,1,1,1,1,1,1
2/14/2020,2,2,1,1,1,1,1,1
2/15/2020,2,2,1,1,1,1,1,1
2/16/2020,2,2,1,1,1,1,1,1
2/17/2020,2,2,1,1,1,1,1,1
2/18/2020,2,2,1,1,1,1,1,1
2/19/2020,2,2,1,1,1,1,1,1
2/20/2020,2,2,1,1,1,1,1,1
2/21/2020,2,2,1,1,1,1,1,1
2/22/2020,2,2,1,1,1,1,1,1
2/23/2020,2,2,1,1,1,1,1,1
2/24/2020,2,2,1,1,1,1,1,1
2/25/2020,2,2,1,1,1,1,1,1
2/26/2020,2,2,1,1,1,1,1,1
2/27/2020,2,2,1,1,1,1,1,1
2/28/2020,2,2,1,1,1,1,1,1
2/29/2020,2,2,1,1,1,1,1,1
3/1/2020,1,1,1,1,1,1,1,1
3/2/2020,1,1,1,1,1,1,1,1
3/3/2020,1,1,1,1,1,1,1,1
3/4/2020,1,1,1,1,1,1,1,1
3/5/2020,1,1,1,1,1,1,1,1
3/6/2020,1,1,1,1,1,1,1,1
3/7/2020,1,1,1,1,1,1,1,1
3/8/2020,1,1,1,1,1,1,1,1
3/9/2020,1,1,1,1,1,1,1,1
3/10/2020,1,1,1,1,1,1,1,1
3/11/2020,1,1,1,1,1,1,1,1
3/12/2020,1,1,1,1,1,1,1,1
3/13/2020,1,1,1,1,1,1,1,1
3/14/2020,1,1,1,1,1,1,1,1
3/15/2020,1,1,1,1,1,1,1,1
3/16/2020,1,1,1,1,1,1,1,1
3/17/2020,1,1,1,1,1,1,1,1
3/18/2020,1,1,1,1,1,1,1,1
3/19/2020,1,1,1,1,1,1,1,1
3/20/2020,1,1,1,1,1,1,1,1
3/21/2020,1,1,1,1,1,1,1,1
3/22/2020,1,1,1,1,1,1,1,1
3/23/2020,1,1,1,1,1,1,1,1
3/24/2020,1,1,1,1,1,1,1,1
3/25/2020,1,1,1,1,1,1,1,1
3/26/2020,1,1,1,1,1,1,1,1
3/27/2020,1,1,1,1,1,1,1,1
3/28/2020,1,1,1,1,1,1,1,1
3/29/2020,1,1,1,1,1,1,1,1
3/30/2020,0,0,0,0,0,0,0,0
3/31/2020,0,0,0,0,0,0,0,0
4/1/2020,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0
4/4/2020,0,0,0,0,0,0,0,0
4/5/2020,0,0,0,0,0,0,0,0
4/6/2020,0,0,0,0,0,0,0,0
4/7/2020,0,0,0,0,0,0,0,0
4/8/2020,0,0,0,0,0,0,0,0
4/9/2020,0,0,0,0,0,0,0,0
4/10/2020,0,0,0,0,0,0,0,0
4/11/2020,0,0,0,0,0,0,0,0
4/12/2020,0,0,0,0,0,0,0,0
4/13/2020,0,0,0,0,0,0,0,0
4/14/2020,0,0,0,0,0,0,0,0
4/15/2020,0,0,0,0,0,0,0,0
4/16/2020,0,0,0,0,0,0,0,0
4/17/2020,0,0,0,0,0,0,0,0
4/18/2020,0,0,0,0,0,0,0,0
4/19/2020,0,0,0,0,0,0,0,0
4/20/2020,0,0,0,0,0,0,0,0
4/21/2020,0,0,0,0,0,0,0,0
4/22/2020,0,0,0,0,0,0,0,0
4/23/2020,0,0,0,0,0,0,0,0
4/24/2020,0,0,0,0,0,0,0,0
4/25/2020,0,0,0,0,0,0,0,0
4/26/2020,0,0,0,0,0,0,0,0
4/27/2020,0,0,0,0,0,0,0,0
4/28/2020,0,0,0,0,0,0,0,0
4/29/2020,0,0,0,0,0,0,0,0
4/30/2020,0,0,0,0,0,0,0,0
5/1/2020,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0
5/4/2020,0,0,0,0,0,0,0,0
5/5/2020,0,0,0,0,0,0,0,0
5/6/2020,0,0,0,0,0,0,0,0
5/7/2020,0,0,1,1,2,2,2,2
5/8/2020,0,0,1,1,2,2,2,2
5/9/2020,0,0,1,1,2,2,2,2
5/10/2020,0,0,1,1,2,2,2,2
5/11/2020,0,0,1,1,2,2,2,2
5/12/2020,0,0,1,1,2,2,2,2
5/13/2020,0,0,1,1,2,2,2,2
5/14/2020,0,0,1,1,2,2,2,2
5/15/2020,0,0,1,1,2,2,2,2
5/16/2020,0,0,1,1,2,2,2,2
5/17/2020,0,0,1,1,2,2,2,2
5/18/2020,2,2,3,3,3,3,3,3
5/19/2020,2,2,3,3,3,3,3,3
5/20/2020,2,2,3,3,3,3,3,3
5/21/2020,2,2,3,3,3,3,3,3
5/22/2020,2,2,3,3,3,3,3,3
5/23/2020,2,2,3,3,3,3,3,3
5/24/2020,2,2,3,3,3,3,3,3
5/25/2020,2,2,3,3,3,3,3,3
5/26/2020,4,4,4,4,4,4,4,4
5/27/2020,4,4,4,4,4,4,4,4
5/28/2020,4,4,4,4,4,4,4,4
5/29/2020,4,4,4,4,4,4,4,4
5/30/2020,4,4,4,4,4,4,4,4
5/31/2020,4,4,4,4,4,4,4,4
6/1/2020,4,4,4,4,4,4,4,4
6/2/2020,4,4,4,4,4,4,4,4
6/3/2020,4,4,4,4,4,4,4,4
6/4/2020,4,4,4,4,4,4,4,4
6/5/2020,4,4,4,4,4,4,4,4
6/6/2020,4,4,4,4,4,4,4,4
6/7/2020,4,4,4,4,4,4,4,4
6/8/2020,5,5,5,5,5,5,5,5
6/9/2020,5,5,5,5,5,5,5,5
6/10/2020,5,5,5,5,5,5,5,5
6/11/2020,5,5,5,5,5,5,5,5
6/12/2020,5,5,5,5,5,5,5,5
6/13/2020,5,5,5,5,5,5,5,5
6/14/2020,5,5,5,5,5,5,5,5
6/15/2020,5,5,5,5,5,5,5,5
6/16/2020,5,5,5,5,5,5,5,5
6/17/2020,5,5,5,5,5,5,5,5
6/18/2020,5,5,5,5,5,5,5,5
6/19/2020,5,5,5,5,5,5,5,5
6/20/2020,5,5,5,5,5,5,5,5
6/21/2020,5,5,5,5,5,5,5,5
6/22/2020,5,5,5,5,5,5,5,5
6/23/2020,5,5,5,5,5,5,5,5
6/24/2020,5,5,5,5,5,5,5,5
6/25/2020,5,5,5,5,5,5,5,5
6/26/2020,5,5,5,5,5,5,5,5
6/27/2020,5,5,5,5,5,5,5,5
6/28/2020,5,5,5,5,5,5,5,5
6/29/2020,5,5,5,5,5,5,5,5
6/30/2020,5,5,5,5,5,5,5,5
7/1/2020,5,5,5,5,5,5,5,5
7/2/2020,5,5,5,5,5,5,5,5
7/3/2020,5,5,5,5,5,5,5,5
7/4/2020,5,5,5,5,5,5,5,5
7/5/2020,5,5,5,5,5,5,5,5
7/6/2020,5,5,5,5,5,5,5,5
7/7/2020,5,5,5,5,5,5,5,5
7/8/2020,5,5,5,5,5,5,5,5
7/9/2020,5,5,5,5,5,5,5,5
